,Name,Rating,Price Rs,RAM Gb,ROM Gb,Expandable GB,Size Cm,Size Inch,R1 Cam MP,R2 Cam MP,R3 Cam MP,R4 Cam MP,Battery Mah,Processor,Image,Brand
591,"Lava Z66 (Berry Red, 32 GB)",4.1,"8,490",3,32,128.0,15.44,6.08,13.0,5.0,,,3950,Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Lava
592,"Redmi K20 Pro (Carbon Black, 256 GB)",4.5,"31,999",8,256,,16.23,6.39,48.0,13.0,8,,4000,Qualcomm Snapdragon 855 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Redmi
593,"Samsung Galaxy A21s (White, 64 GB)",4.2,"16,499",6,64,512.0,16.51,6.5,48.0,8.0,2,2.0,5000,Exynos 850 Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
594,"Vivo V17Pro (Midnight Ocean Black, 128 GB)",4.5,"29,499",8,128,,16.36,6.44,48.0,13.0,8,2.0,4100,Qualcomm Snapdragon 675 AIE Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Vivo
595,"Tecno Camon I Twin (Gold, 32 GB)",4.4,"9,990",3,32,,15.24,6.0,13.0,,,,4000,Snapdragon 425 Quad-Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
596,"Tecno Camon i Sky (midnight black, 16 GB)",4.1,"7,950",2,16,,13.84,5.45,13.0,,,,3050,Snapdragon 425 Quad-Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
597,"Honor 10 Lite (Midnight Black, 32 GB)",4.4,"13,999",3,32,512.0,15.77,6.21,13.0,2.0,,,3400,Kirin 710 2.2GHz Octa Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Honor
598,"TCL 560 (Dark Grey Hairline, 16 GB)",3.8,"8,999",2,16,32.0,13.97,5.5,8.0,,,,2500,MSM 8909 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,
599,"Samsung Galaxy A80 (Phantom Black, 128 GB)",4.4,"29,999",8,128,,17.02,6.7,48.0,8.0,,,3700,Qualcomm Snapdragon 730G Octa-Core Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
600,"Samsung Galaxy S8 Plus (Orchid Grey, 64 GB)",4.6,"53,990",4,64,256.0,15.75,6.2,12.0,,,,3500,8895 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
601,"Samsung Galaxy Note 9 (Alpine White, 128 GB)",4.6,"73,600",6,128,512.0,16.26,6.4,12.0,12.0,,,4000,Exynos 9810 octa core�Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
602,"Vivo Y91i (Ocean Blue, 16 GB)",4.3,"8,350",2,16,256.0,15.8,6.22,13.0,,,,4030,MTK Helio P22 Processor,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/5/q/e/y91i-32-u-1820-vivo-2-original-imafegpdvpncyxew.jpeg?q=70,Vivo
603,"Realme X50 Pro (Rust Red, 128 GB)",4.4,"41,999",8,128,,16.36,6.44,64.0,12.0,8,2.0,4200,Qualcomm Snapdragon 865�Processor,https://rukminim1.flixcart.com/image/312/312/k6zda4w0/mobile/v/m/q/realme-x50-pro-rmx2076-original-imafpbbvwqm4kjnv.jpeg?q=70,Realme
604,"Realme X50 Pro (Moss Green, 128 GB)",4.4,"41,999",8,128,,16.36,6.44,64.0,12.0,8,2.0,4200,Qualcomm Snapdragon 865�Processor,https://rukminim1.flixcart.com/image/312/312/k6zda4w0/mobile/h/y/8/realme-x50-pro-rmx2076-original-imafpbbvbwfcpz2r.jpeg?q=70,Realme
605,"Samsung GALAXY M31S (Mirage Black, 128 GB)",,"25,990",8,128,,16.51,6.5,64.0,,,,6000,Exynos 9611 octa core�Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
606,"OPPO Reno3 Pro (Sky White, 128 GB)",4.4,"27,990",8,128,256.0,16.26,6.4,64.0,13.0,8,2.0,4025,MediaTek Helio P95 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,OPPO
607,"Samsung Galaxy A20s (Black, 64 GB)",4.3,"14,900",4,64,512.0,16.51,6.5,13.0,8.0,5,,4000,Qualcomm SDM450-B01 Processor,https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,Samsung
